RACEYEAR,RACENUMBER,FP1_AirTemp_mean,FP1_AirTemp_min,FP1_AirTemp_max,FP1_Humidity_mean,FP1_Humidity_min,FP1_Humidity_max,FP1_Pressure_mean,FP1_Pressure_min,FP1_Pressure_max,FP1_Rainfall_max,FP1_TrackTemp_mean,FP1_TrackTemp_min,FP1_TrackTemp_max,FP1_WindDirection_mean,FP1_WindSpeed_mean,FP1_WindSpeed_max,Driver,FP1_AvgSector1Time_ms,FP1_FastestSector1Time_ms,FP1_AvgSector2Time_ms,FP1_FastestSector2Time_ms,FP1_AvgSector3Time_ms,FP1_FastestSector3Time_ms,FP1_AvgPitStopDuration_ms,FP1_TotalPitStops,FP1_MaxStint_HARD,FP1_MaxStint_INTERMEDIATE,FP1_MaxStint_MEDIUM,FP1_MaxStint_SOFT,FP1_MaxStint_TEST_UNKNOWN,FP1_MaxStint_UNKNOWN,FP1_MaxStint_WET,FP1_AvgTyreLife_HARD,FP1_AvgTyreLife_INTERMEDIATE,FP1_AvgTyreLife_MEDIUM,FP1_AvgTyreLife_SOFT,FP1_AvgTyreLife_TEST_UNKNOWN,FP1_AvgTyreLife_UNKNOWN,FP1_AvgTyreLife_WET,FP1_AvgSpeedOnTyre_HARD,FP1_AvgSpeedOnTyre_INTERMEDIATE,FP1_AvgSpeedOnTyre_MEDIUM,FP1_AvgSpeedOnTyre_SOFT,FP1_AvgSpeedOnTyre_TEST_UNKNOWN,FP1_AvgSpeedOnTyre_UNKNOWN,FP1_AvgSpeedOnTyre_WET,FP1_FastestSpeedOnTyre_HARD,FP1_FastestSpeedOnTyre_INTERMEDIATE,FP1_FastestSpeedOnTyre_MEDIUM,FP1_FastestSpeedOnTyre_SOFT,FP1_FastestSpeedOnTyre_TEST_UNKNOWN,FP1_FastestSpeedOnTyre_UNKNOWN,FP1_FastestSpeedOnTyre_WET,FP1_AvgLapTimeOnTyre_HARD,FP1_AvgLapTimeOnTyre_INTERMEDIATE,FP1_AvgLapTimeOnTyre_MEDIUM,FP1_AvgLapTimeOnTyre_SOFT,FP1_AvgLapTimeOnTyre_TEST_UNKNOWN,FP1_AvgLapTimeOnTyre_UNKNOWN,FP1_AvgLapTimeOnTyre_WET,FP1_FastestLapTimeOnTyre_HARD,FP1_FastestLapTimeOnTyre_INTERMEDIATE,FP1_FastestLapTimeOnTyre_MEDIUM,FP1_FastestLapTimeOnTyre_SOFT,FP1_FastestLapTimeOnTyre_TEST_UNKNOWN,FP1_FastestLapTimeOnTyre_UNKNOWN,FP1_FastestLapTimeOnTyre_WET,FP1_Red,FP1_SCDeployed,FP1_VSCDeployed,FP1_Yellow
2023,1,26.989285714285714,26.3,27.6,12.261904761904763,11.0,14.0,1017.3142857142857,1017.2,1017.5,False,40.482142857142854,37.8,42.7,300.0952380952381,2.579761904761905,3.5,ALB,38095.63636363636,30341.0,51340.6,41571.0,30537.533333333333,23934.0,703867.6666666666,3.0,,,4.0,,,,,,,4.428571428571429,,,,,,,250.14285714285714,,,,,,,287.0,,,,,,,108091.71428571429,,,,,,,96018.0,,,,,0,0,0,2
2023,1,26.989285714285714,26.3,27.6,12.261904761904763,11.0,14.0,1017.3142857142857,1017.2,1017.5,False,40.482142857142854,37.8,42.7,300.0952380952381,2.579761904761905,3.5,ALO,36471.5,29654.0,48999.59090909091,40156.0,28329.045454545456,23386.0,444127.3333333333,3.0,,,2.0,4.0,,,,,,7.5,4.0,,,,,,279.5,191.5,,,,,,282.0,283.0,,,,,,109913.3,117595.0,,,,,,94867.0,93196.0,,,,0,0,0,2
2023,1,26.989285714285714,26.3,27.6,12.261904761904763,11.0,14.0,1017.3142857142857,1017.2,1017.5,False,40.482142857142854,37.8,42.7,300.0952380952381,2.579761904761905,3.5,BOT,39989.75,30140.0,49869.9,40780.0,28607.5,23769.0,318813.2,5.0,,,2.0,6.0,,,,,,6.0,6.0,,,,,,269.2,222.75,,,,,,274.0,278.0,,,,,,102194.4,105067.75,,,,,,97149.0,94689.0,,,,0,0,0,2
2023,1,26.989285714285714,26.3,27.6,12.261904761904763,11.0,14.0,1017.3142857142857,1017.2,1017.5,False,40.482142857142854,37.8,42.7,300.0952380952381,2.579761904761905,3.5,DEV,39078.27272727273,30314.0,50428.48,41419.0,28502.84,23669.0,234996.0,4.0,,,5.0,3.0,,,,,,9.5,3.5,,,,,,250.5,261.75,,,,,,279.0,278.0,,,,,,112525.75,113096.0,,,,,,97493.0,95402.0,,,,0,0,0,2
2023,1,26.989285714285714,26.3,27.6,12.261904761904763,11.0,14.0,1017.3142857142857,1017.2,1017.5,False,40.482142857142854,37.8,42.7,300.0952380952381,2.579761904761905,3.5,GAS,39484.36842105263,30404.0,51596.09090909091,41200.0,27380.545454545456,23833.0,603693.0,2.0,,,3.0,,,,,,,6.466666666666667,,,,,,,264.8,,,,,,,282.0,,,,,,,113915.53333333334,,,,,,,95455.0,,,,,0,0,0,2
2023,1,26.989285714285714,26.3,27.6,12.261904761904763,11.0,14.0,1017.3142857142857,1017.2,1017.5,False,40.482142857142854,37.8,42.7,300.0952380952381,2.579761904761905,3.5,HAM,42902.63636363636,29999.0,52881.0,40996.0,28055.923076923078,23739.0,400654.3333333333,3.0,,,4.0,,,1.0,,,,4.5,,,2.0,,,,281.25,,,275.0,,,,285.0,,,275.0,,,,99999.5,,,95462.0,,,,94917.0,,,95462.0,,0,0,0,2
2023,1,26.989285714285714,26.3,27.6,12.261904761904763,11.0,14.0,1017.3142857142857,1017.2,1017.5,False,40.482142857142854,37.8,42.7,300.0952380952381,2.579761904761905,3.5,HUL,33066.84210526316,30047.0,44917.77272727273,41203.0,26495.545454545456,23793.0,744026.0,2.0,,,,3.0,,,,,,,6.235294117647059,,,,,,,260.5882352941176,,,,,,,279.0,,,,,,,99492.70588235294,,,,,,,95043.0,,,,0,0,0,2
2023,1,26.989285714285714,26.3,27.6,12.261904761904763,11.0,14.0,1017.3142857142857,1017.2,1017.5,False,40.482142857142854,37.8,42.7,300.0952380952381,2.579761904761905,3.5,LEC,45899.142857142855,30083.0,50986.41176470588,40519.0,28821.882352941175,23655.0,442913.75,4.0,,,5.0,,,,,,,5.0,,,,,,,241.5,,,,,,,282.0,,,,,,,99683.83333333333,,,,,,,94257.0,,,,,0,0,0,2
2023,1,26.989285714285714,26.3,27.6,12.261904761904763,11.0,14.0,1017.3142857142857,1017.2,1017.5,False,40.482142857142854,37.8,42.7,300.0952380952381,2.579761904761905,3.5,MAG,34084.82352941176,30013.0,47082.3,40746.0,26247.8,23643.0,806298.0,2.0,,,,3.0,,,,,,,5.8,,,,,,,258.6666666666667,,,,,,,280.0,,,,,,,100080.8,,,,,,,94402.0,,,,0,0,0,2
2023,1,26.989285714285714,26.3,27.6,12.261904761904763,11.0,14.0,1017.3142857142857,1017.2,1017.5,False,40.482142857142854,37.8,42.7,300.0952380952381,2.579761904761905,3.5,NOR,35770.94117647059,29958.0,47251.76190476191,40579.0,27532.333333333332,23628.0,507605.6666666667,3.0,,,2.0,4.0,,,,,,4.0,7.555555555555555,,,,,,270.0,251.77777777777777,,,,,,278.0,283.0,,,,,,109563.5,105229.44444444444,,,,,,96488.0,94165.0,,,,0,0,0,2
