RACEYEAR,RACENUMBER,FP3_AirTemp_mean,FP3_AirTemp_min,FP3_AirTemp_max,FP3_Humidity_mean,FP3_Humidity_min,FP3_Humidity_max,FP3_Pressure_mean,FP3_Pressure_min,FP3_Pressure_max,FP3_Rainfall_max,FP3_TrackTemp_mean,FP3_TrackTemp_min,FP3_TrackTemp_max,FP3_WindDirection_mean,FP3_WindSpeed_mean,FP3_WindSpeed_max,Driver,FP3_AvgSector1Time_ms,FP3_FastestSector1Time_ms,FP3_AvgSector2Time_ms,FP3_FastestSector2Time_ms,FP3_AvgSector3Time_ms,FP3_FastestSector3Time_ms,FP3_AvgPitStopDuration_ms,FP3_TotalPitStops,FP3_MaxStint_HARD,FP3_MaxStint_INTERMEDIATE,FP3_MaxStint_MEDIUM,FP3_MaxStint_SOFT,FP3_MaxStint_UNKNOWN,FP3_MaxStint_WET,FP3_AvgTyreLife_HARD,FP3_AvgTyreLife_INTERMEDIATE,FP3_AvgTyreLife_MEDIUM,FP3_AvgTyreLife_SOFT,FP3_AvgTyreLife_UNKNOWN,FP3_AvgTyreLife_WET,FP3_AvgSpeedOnTyre_HARD,FP3_AvgSpeedOnTyre_INTERMEDIATE,FP3_AvgSpeedOnTyre_MEDIUM,FP3_AvgSpeedOnTyre_SOFT,FP3_AvgSpeedOnTyre_UNKNOWN,FP3_AvgSpeedOnTyre_WET,FP3_FastestSpeedOnTyre_HARD,FP3_FastestSpeedOnTyre_INTERMEDIATE,FP3_FastestSpeedOnTyre_MEDIUM,FP3_FastestSpeedOnTyre_SOFT,FP3_FastestSpeedOnTyre_UNKNOWN,FP3_FastestSpeedOnTyre_WET,FP3_AvgLapTimeOnTyre_HARD,FP3_AvgLapTimeOnTyre_INTERMEDIATE,FP3_AvgLapTimeOnTyre_MEDIUM,FP3_AvgLapTimeOnTyre_SOFT,FP3_AvgLapTimeOnTyre_UNKNOWN,FP3_AvgLapTimeOnTyre_WET,FP3_FastestLapTimeOnTyre_HARD,FP3_FastestLapTimeOnTyre_INTERMEDIATE,FP3_FastestLapTimeOnTyre_MEDIUM,FP3_FastestLapTimeOnTyre_SOFT,FP3_FastestLapTimeOnTyre_UNKNOWN,FP3_FastestLapTimeOnTyre_WET,FP3_Red,FP3_SCDeployed,FP3_VSCDeployed,FP3_Yellow
2023,1,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.0430232558139,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,ALB,40671.5,29703.0,51655.8,40598.0,28442.733333333334,23473.0,278797.0,3.0,,,,4.0,,,,,,5.428571428571429,,,,,,251.14285714285714,,,,,,291.0,,,,,,111536.0,,,,,,93882.0,,,0,0,0,0
2023,1,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.0430232558139,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,ALO,45231.72727272727,29410.0,49115.846153846156,39895.0,29176.384615384617,23035.0,378436.0,3.0,,,,4.0,,,,,,3.857142857142857,,,,,,253.71428571428572,,,,,,284.0,,,,,,117537.85714285714,,,,,,92340.0,,,0,0,0,0
2023,1,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.0430232558139,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,BOT,44320.454545454544,29625.0,52999.78571428572,40511.0,29157.14285714286,23339.0,314068.5,4.0,,,,5.0,,,,,,3.8,,,,,,234.8,,,,,,282.0,,,,,,105995.6,,,,,,93629.0,,,0,0,0,0
2023,1,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.0430232558139,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,DEV,40737.8125,29844.0,50687.333333333336,40719.0,28777.333333333332,23483.0,243906.33333333334,3.0,,,,4.0,,,,,,4.916666666666667,,,,,,250.08333333333334,,,,,,285.0,,,,,,114943.33333333333,,,,,,94082.0,,,0,0,0,0
2023,1,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.0430232558139,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,GAS,43664.181818181816,29755.0,52603.0,40127.0,28804.923076923078,23182.0,457452.49999999977,2.0,,,,3.0,,,,,,3.5,,,,,,244.125,,,,,,286.0,,,,,,116431.0,,,,,,93064.0,,,0,0,0,0
2023,1,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.0430232558139,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,HAM,39892.57142857143,29330.0,51362.23529411765,40084.0,28323.29411764706,23139.0,238964.75,4.0,,,,5.0,,,,,,6.0,,,,,,282.375,,,,,,286.0,,,,,,100841.5,,,,,,92555.0,,,0,0,0,0
2023,1,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.0430232558139,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,HUL,38176.65,29830.0,47686.13043478261,40369.0,27146.91304347826,23224.0,385768.6666666667,3.0,,,2.0,4.0,,,,,8.454545454545455,4.75,,,,,275.8181818181818,222.5,,,,,282.0,281.0,,,,,104187.63636363637,113073.25,,,,,96150.0,93423.0,,,0,0,0,0
2023,1,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.0430232558139,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,LEC,41979.61111111111,29457.0,51751.52380952381,39911.0,28577.571428571428,23256.0,213110.0,4.0,,,,5.0,,,,,,8.5,,,,,,279.1,,,,,,285.0,,,,,,99882.3,,,,,,92624.0,,,0,0,0,0
2023,1,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.0430232558139,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,MAG,36536.27777777778,29828.0,51351.857142857145,40163.0,28309.285714285714,23390.0,579606.5,2.0,,,2.0,3.0,,,,,7.9,4.0,,,,,275.4,213.4,,,,,281.0,283.0,,,,,104554.9,122104.6,,,,,96240.0,93381.0,,,0,0,0,0
2023,1,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.0430232558139,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,NOR,38142.916666666664,29634.0,50565.625,40120.0,29284.5,23448.0,665977.6666666666,3.0,,,,4.0,,,,,,4.714285714285714,,,,,,245.85714285714286,,,,,,284.0,,,,,,109971.0,,,,,,93202.0,,,0,0,0,0
